,question1,question2,is_duplicate
0,21살의 사랑에 대해,사랑을 노력한다는게 말이 되나요?,1
1,2년 가량의 연애,2년 만났어,0
2,2년 만난 기념일이야,우리 벌써 2년 동안 사궜어,0
3,2년 사귀었는데 결혼하려고,2년째 짝사랑하는 사람이 있어.,1
4,5급면제도 나랑사랑카드 발급하나요?,아이콘 노래 사랑을 했다 별로인것같은데,1
5,7년이 지났는데 아직 가끔 소식이 궁금해~,벌써 이별한지 7개월 넘어가네,1
6,가까운 곳으로 나들이 갈까,바람 쐬러 어디 근교로 나갈까,0
7,가족사랑 시 있나?,사랑 노래 추천 좀 해줘.,1
8,가족을 너무 사랑해서 가끔 괴로워요,가족들과 사랑하면서 지내고 싶어요			,1
9,간단히 요기하고 수영하려고,간식 먹고 수영할거야,1
10,간절히 원하면 이루어질까,꿈이 현실이었으면,0
11,감기가 들락날락하는 컨디션,컨디션 매롱이다,1
12,강아지 귀여워 심쿵,강아지 밥 먹는거 귀여워,0
13,같이 가는줄 알았는데.,걔 없이 잘지내 보려구,1
14,같이 보고싶어 올립니다,축하해,1
15,같이 있으면 좋을텐데,같이 있고 싶다.,0
16,개인의 취향인데 왜 이렇게 말이 많지,나도 개인의 취향이 있는건데 좀 존중해주지,0
17,걔는 싸우면 연락이 안돼,싸우면 잠수하는거 짜증나.,0
18,건강 좀 챙기라고 잔소리 하고 싶어,건강 좀 위하라고 잔소리 하고 싶어,0
19,건강이 최고지,요즘 정말 돈이 없어,1
20,결국 예식장 취소했어,오늘 헤어지자고 하고 예식장 취소했어,0
21,결혼 기념일 기념했어,덕분에 더 흥겨웠던 시간!,1
22,결혼 준비 할 게 많아,결혼하는데 돈 너무 많이 들어,1
23,결혼식 사회 봐주기로 했는데 신부 친구들 다 예쁜듯,신부 친구들이 너문 예뻐서 결혼식 사회 봐 주기로 했어,0
24,결혼식에 하객이 없을 까봐 걱정돼,하객 없는 결혼식일까봐 걱정돼,0
25,결혼이나 하지 ,스킨스쿠버 위험할까,1
26,결혼하면 남편한테 사랑받겠다.,남자는 아무리 좋아하고 사랑해도 혼자만의 시간이 필요한가요?,1
27,결혼할 때 되니까 너무 바빠,이 결혼 잘 한 걸까,1
28,고구마 피자 먹고 싶다.,오늘따라 피자 땡기네,0
29,고마워,알려 줘서 고마워,0
30,고민이 많아,추억이 담긴 사진을 지웠습니다,1
31,고양이처럼 도도한 여자친구,썸인데 너무 친한척해,1
32,공감과 배려가 필요해,헤어졌는데 친구 가능?,0
33,공무원이 제일 좋을 듯,공무원 시험 합격하고 싶어.,0
34,공부 열심히 해야겠다.,앞으로 공부 열심히 해야지,0
35,과일이랑 채소 챙겨 먹어야지,과일 주스 먹어야겠다.,1
36,괜찮은 줄 알았는데 또 보고 싶네,사랑하니까 자꾸 집착하게 되네,1
37,괜찮은거 같다가 갑자기 울게 돼,내사랑 그녀,1
38,교양 학점 왜 이래,교양 점수 망함,0
39,구글처럼 대기업 취업하고 싶다.,대기업 취업하고 싶다.,1
40,군대간 오빠한테 손편지 하려고,비오는 소리 들리니까 그 사람 생각나,1
41,권태기가 온 거 같아.,다투고 하지 말아야 할 말을 했어,1
42,귀여운 집착은 사랑을 더 뜨겁게 해주나요?,사랑에 관련된 노래 듣고 싶어,1
43,그 사람 취향 알면 선물 하기 편할텐데,선물 어떤거 좋아하는지 취향 궁금하다,0
44,그 사람과 나의 사랑하는 정도의 차이 ,이제 제 사랑을 소중히 해 줄 사람을 찾고 싶습니다,1
45,그 사람도 내 생각할까?,그 사람도 지금 내 생각할까?,0
46,그 사람에게 좋아하는 거 티 내는 방법 좀.,아직 저만 좋아하는데 같이 스터디하자고 해도 될까요?,1
47,그 사람이 날 좋아할리는 없겠지?,그 사람이 날 좋아할리는 없겠지?,0
48,그 사람이 영화보재,영화 뭐 보지?,1
49,그 여자가 좋아,뒤에서 욕하는 사람 용서하는 방법,1
50,그 카페 지나가면 생각나,카페 지나갈 때마다 니 생각 나,0
51,그냥 쉬고 싶다.,격렬하게 쉬고 싶다.,0
52,그사람 봤어,모든 진실을 알게 됐네,1
53,근교에 쉴만한 곳 가면 딱일 것 같은데,가까운데 놀러가면 딱 좋을 것 같아,0
54,급하게 살 빼야 해,물 많이 마셔야 하는데 까먹어,1
55,기분 꿀꿀해,오늘 울적하다.,0
56,기분이 너무 좋아.,개좋아,0
57,기분이 묘하다 ,내일 만나기로 했는데 뭐 입지,1
58,기숙사로 들어가서 사는거 어떨까?,기숙사 살면 아무래도 불편할까,0
59,김치찌개 먹어야겠다.,점심에 김치찌개 먹어야지,0
60,깜짝이야 소오름이 쫙 ,놀라서 소름이 다 돋았아.,0
61,꽃말인 사랑인 꽃 좀 알려 줘,괜찮은 사랑이 올까요,1
62,꿈에 그 사람 나왔어,그 사람을 꿈에서 만났어,0
63,끝나가니까 아쉬워,또 하루가 이렇게 가네,1
64,나 결혼할 수 있을까,고양이 키우고 싶어,1
65,나 너무 못생겼어,이미 망하고 있는거 아닌가? ,1
66,나 뭐 먹고 살지,아무래도 내 체질이 공부는 아닌 것 같아,1
67,나 미쳐가는 것 같아.,선풍기 틀어도 더워,1
68,나 바보인가봐 사랑한다고 말을 못하겠어,사랑한다고 어떻게 고백하지,0
69,나 부담스러워할까,너 가족 있어?,1
70,나 비호감인가 왠지 나를 싫어하는 것 같애.,그 사람은 나를 싫어하는 것 같애.,0
71,나 이번학기부터 교직이수 가능할까?,성적 망쳤는데 교직이수할 수 있을까?,0
72,나 정말 무뎌지고있나봐,나 정말 무뎌지고있나봐,0
73,나 좀 천잰인 듯,너 만든 사람 최소 천재,1
74,나 좋아하는 건지 궁금해,좋아할 때 나타나는 특징 있나,0
75,나 좋은 사람 만날 수 있을까?,좋은 사람 만날 수 있을까?,0
76,나는 나름 최선을 다했는데,최선을 다한 거 같은데 결과가 ㅠㅠ,0
77,나는 아닌가봐,이렇게 끝나는 건가,1
78,나는 좋은데 잘 모르는 것 같아,내 맘 모르는 척 하는 걸까,0
79,나도 그림 좀 잘 그렸으면 좋겠다,내 친구들은 다 그림 잘 그려.,0
80,나도 나이 들었나.너무 힘들다.,오늘 이상하게 힘들다,0
81,나도 사랑 받고 싶아.,나 좋아해줬으면 좋겠다,0
82,나도 성공한 사람들 처럼 되고 싶다.,성공하고 싶다,0
83,나도 연애해 보고 싶어,연애하고 싶다.,0
84,나도 위로해 줄 사람 필요해.,위로 좀 해줘.,0
85,나도 이제 아재인가,재미 없어.,1
86,나도 인정받는 사람이 되고 싶어,인정 받고 싶어.,0
87,나도 휴학하는 게 나을까?,휴학가야 하나?,0
88,나를 사랑해줄 사람 언제 나타날까,조금 더 노력할걸,1
89,나를 이해해 주는 사람이라서 다행이다,떡볶이 먹고 싶어,1
90,나만 시키고 화 내는 건 뭐냐고,시키면서 화를 내,0
91,나쁜 건지 어색해서 그러는 건지 모르겠어,나쁜 건지아닌지 모르겠다,0
92,나쁜 습관이 안 고쳐져,잘 못 들인 나쁜 습관 못 고치겠어,0
93,나한테 너무 불만이 많아,시크하고 불만이 많아,0
94,나한테 왜 그러지,정말 나한테만 왜 그러냐고,0
95,남자 여자 나이차가 어느정도 나야 적당한건가,나이차이 많이 나는 누나가 좋은데.,1
96,남자 친구가 절 사랑하는걸까요,그 사람이 절 좋아하는걸까요?,0
97,남자애랑 톡하는데 칼답 아니면 썸 아닌가?,도대체 썸의 정의가 무엇인가요?,1
98,남자친구 영장 나왔대,영장 나왔는데 여친에게 어떻게 말하지,1
99,남자친구 오지랖 너무 많아서 속상해,남친 때문에 속상해,0
100,남자친구 콧대가 높아서 잘 생겼어,남자친구 코가 높아,0
101,남자친구 휴대폰 봐도 되나,남친 핸드폰 비번 아는데 봐도 되나,0
102,남자친구가 여사친들이 너무 많아,남자친구 게임을 너무 많이 해,1
103,남자친구랑 데이트 어디 갈까,데이트코스 추천해 줘,0
104,남자친구랑 시간 더 보내고 싶어,남친이랑 오래 같이 있고 싶어,0
105,남친이 바람둥이 같아,남친이 아무나 잘해주는 게 바람둥이 같아,0
106,남친이 자꾸 자꾸 귀척해,남자친구 너무 귀여워,1
107,남편이 다른 여자랑 카톡을 주고받는걸 봤어. ,우리 커플은 사랑의 온도가 다른 것 같아요.,1
108,남편이 바람을 피우는 것 같아.,요즘 남편한테 사랑받는 느낌이 안들어요,1
109,내 강점은 어떤걸까?,내가 더 잘하는 건 뭘까,0
110,내 사랑은 슬픈 사랑,내가 좋아하는 사람과 이루어질 수 없어,0
111,내 사랑이 끝났어,사랑 이후,1
112,내 의견 지지해 주는 있었으면 좋겠다.,뭔가 아이러니하다,1
113,내가 너무 쉬워 보이게 행동했나봐,내가 쉬워보이나?,0
114,내가 다시 만나자면 나랑 만나줄까,내가 다시 만나자면 나와줄까,0
115,내가 왜 주제 넘은 짓을 했을까 가만히 있을걸,내가 주제 넘게 말한 것 같네.,0
116,내가 작아보여.,내가 정말 작게 느껴져.,0
117,내가 진짜 미친다.,헤어진지 한달 지났네,1
118,내가 첫 연애 상대라고 하는데 거짓말 같아,내가 그 사람 첫사랑이래,0
119,너 가족 관계 어떻게 돼,너 가족 누구누구 있어?,0
120,너 너무 귀여워,밀린 설거지 좀 해줘봐봐,1
121,너 말투가 마음에 안 들어.,말이 이상해,0
122,너 웃겨,너 정말 웃겨 ㅋㅋㅋ,0
123,너 이름 있어?,누구세요?,0
124,너 좀 무서워,아 깜짝 놀랐다.,1
125,너는 뭐 좋아해?,좋아하는 거 있어?,1
126,너무 더워서 화장 지워져,땀 때문에 거의 쌩얼,0
127,너무 덥다,더워 헥헥,0
128,너무 비싼데 사고 싶어,사고 싶은데 비싸서 안사려고,1
129,너무 연락하고 싶어서 여기에 써,헤어지면 나 혼자 잘 할 수 있을까,1
130,너무 잘해주는 남자 만나서 다행이다.,나한테 잘해주는 사람 만나서 행복해,0
131,너무 좋은 경험 했네,암튼 종강이네,1
132,너무 진지해,고민이 너무 많아,1
133,너무 추우니까 아무 생각도 안나,결혼하고 나니까 너무 맘대로 하는 거 같아,1
134,너무 추워서 나가기 싫어,시베리아 같아 추워 때문에 나가기 귀찮아,0
135,넘 안타깝다.,이거 실화냐 안타깝네,0
136,넘나 섭섭하다.,헤어지자는 카톡을 보냈어,1
137,노래 너무 좋다,꿈과 현실은 다른거지,1
138,노래 불러줘,웃긴게 장난없음,1
139,노래방 가고 싶다.,코인 노래방 가서 몇 곡만 부르고 와야지,1
140,놀아줄 친구가 없어,친구 없어,0
141,누가 만들었어요?,남동생한테 자꾸 화내게 되네,1
142,눈 오니까 그 사람 생각이 나네,눈 오니까 군고구마랑 호떡 먹고 싶다.,1
143,눈 오니까 오빠 보고싶다.,눈 오는 날 추억 있는데,1
144,눈물이 나고 마음이 아픕니다.,왜 이렇게 눈물이 나지?,1
145,눈물이 뚝 떨어져.,재회를 했는데 다시 헤어짐,1
146,늘 우울하다면 어찌하나요?,그 사람의  마음을 알고싶어,1
147,늦었는데도 안 오네,같이 해온 5년,1
148,다 혼자 해야 돼,혼자 할게 많네,0
149,다른 과랑 복전하고 싶어,취직하려면 복수전공해야 할 것 같아. ,0
150,다른 사람을 설득하는 거 힘들다.,다시 한 번 설득해 볼까,1
151,다른 생각하지 않고 공부하는 방법,잡념 없이 공부하는 방법,1
